Estado,Superficie_miles_Ha,Volumen_miles_Ton,Valor_millones_MXN,Anio
Oaxaca,1.4838,4.8373,59.10065365,2015
Durango,1.029,3.59354,44.23795322,2015
Colima,0.72525,5.38537,74.70311115999999,2015
Veracruz,0.449,2.9292,40.31468819,2015
Hidalgo,0.3685,1.2814,16.753595,2015
Baja California Sur,0.073,0.264,2.985638,2015
Guanajuato,0.064,0.2,1.8280006000000002,2015
Baja California,0.0465,0.18564,2.66413614,2015
Querétaro,0.034,0.093,0.80352,2015
Zacatecas,0.0335,0.18615,2.540285,2015
Sonora,0.03,0.40796,5.8254108,2015
Tlaxcala,0.025,0.09,1.1752497,2015
Sinaloa,0.0075,0.085,0.6832,2015
San Luis Potosí,0.005,0.03,0.405,2015
Michoacán,141.24883,1407.43956,23065.23622232,2016
Jalisco,19.44505,142.74344699999997,1912.44741031,2016
Estado de México,8.78576,108.53783,1513.15971046,2016
Nayarit,4.99965,28.200400000000002,243.12517935,2016
Morelos,3.8214,29.82868,289.8080208,2016
Guerrero,3.63254,16.58112,144.80751729,2016
Chiapas,2.8356999999999997,9.75158,144.9125736,2016
Puebla,2.1485,10.476690000000001,108.31881569,2016
Oaxaca,1.9390699999999998,5.33736,72.67018437,2016
Durango,1.029,3.76988,60.496852,2016
Colima,0.75189,6.749969999999999,106.52603817,2016
Veracruz,0.523,4.2802,65.04339967,2016
Hidalgo,0.511,1.493,20.00278996,2016
Baja California Sur,0.083,0.2963,3.6122225699999997,2016
Guanajuato,0.074,0.2186,2.60048543,2016
Baja California,0.0465,0.22305,3.4005,2016
Querétaro,0.036,0.06509999999999999,0.7812,2016
Zacatecas,0.032,0.19793,3.90153204,2016
Sonora,0.03,0.405,6.03886904,2016
Tlaxcala,0.025,0.13,2.34,2016
Sinaloa,0.0075,0.08709,0.7193851899999999,2016
San Luis Potosí,0.005,0.04,0.48,2016
Michoacán,149.26228,1467.5366399999998,29714.97444681,2017
Jalisco,20.934720000000002,168.57867000000002,2772.77140315,2017
Estado de México,8.75042,108.11465,1790.557454,2017
Nayarit,5.307180000000001,38.997800000000005,501.33702031999997,2017
Morelos,3.9084,32.3343,479.23561274,2017
Guerrero,3.6584299999999996,18.55136,225.7203777,2017
Chiapas,3.02625,10.75639,166.71819555000002,2017
Oaxaca,2.26592,6.003549999999999,92.31424007,2017
Puebla,2.0285,10.412139999999999,120.41616823999999,2017
Durango,1.0315,3.81184,62.741558,2017
Colima,0.76389,7.31702,110.18151412,2017
Hidalgo,0.586,1.5594000000000001,21.90300023,2017
Veracruz,0.565,5.307300000000001,82.80207424,2017
Guanajuato,0.136,0.6955,9.489649609999999,2017
Baja California,0.07975,0.1994,3.58967775,2017
Baja California Sur,0.079,0.4472,6.8462860800000005,2017
San Luis Potosí,0.046,0.085,2.2825,2017
Querétaro,0.033,0.1056,1.128864,2017
Sonora,0.03,0.40662,7.78640802,2017
Zacatecas,0.029,0.20482,2.9719892000000003,2017
Tlaxcala,0.025,0.14,3.22,2017
Michoacán,156.37284,1561.5726599999998,31157.42365145,2018
Jalisco,22.43633,200.51402,3053.5926909299997,2018
Estado de México,10.366670000000001,97.15694599999989,1717.76363495,2018
Nayarit,6.19632,49.565768,704.5482899399999,2018
Morelos,4.0807,34.873648,464.32997167,2018
Guerrero,3.44421,19.829786,219.54398383,2018
Chiapas,3.0754,15.80064,256.48807901,2018
Oaxaca,2.51133,6.556091,104.50463721,2018
Puebla,1.798,9.002790000000001,130.43057210999999,2018
Durango,1.022,3.8231599999999997,62.5682871,2018
Colima,0.7735,7.533929,124.93441143999999,2018
Veracruz,0.743,5.8,90.44754111,2018
Hidalgo,0.5995,1.74321,22.702957079999997,2018
Querétaro,0.083,0.1611,2.39915366,2018
Baja California Sur,0.079,0.413,6.18777606,2018
Guanajuato,0.075,0.3262,4.73204954,2018
Baja California,0.047,0.24348,4.43738917,2018
San Luis Potosí,0.046,0.07772,1.44025998,2018
Zacatecas,0.031,0.21032,2.948836,2018
Sonora,0.03,0.36012,5.94859388,2018
Tlaxcala,0.025,0.1745,4.074575,2018
Michoacán,158.10245,1628.49497,36415.29323728,2019
Jalisco,23.60782,230.25054999999998,4680.78589102,2019
Estado de México,10.17617,116.6387,2425.8724550300003,2019
Nayarit,6.7358199999999995,57.92579,797.57992088,2019
Morelos,4.665,45.25335000000001,733.1286091999999,2019
Chiapas,3.0704000000000002,15.82456,333.86961594999997,2019
Oaxaca,2.6912,8.838940000000001,177.6901112,2019
Guerrero,2.63844,14.33455,182.35281502,2019
Puebla,1.89074,9.50762,136.23144486,2019
Durango,1.029,3.70636,60.7877363,2019
Colima,0.8115,7.76954,131.14044096,2019
Hidalgo,0.7157,2.12222,27.05709173,2019
Veracruz,0.591,5.434699999999999,97.31542309000001,2019
Guanajuato,0.11,0.3182,4.70370422,2019
San Luis Potosí,0.086,0.0906,1.925184,2019
Querétaro,0.057,0.10065,1.54477016,2019
Baja California,0.04675,0.21037999999999998,3.3998,2019
Sonora,0.0378,0.41266,6.88513045,2019
Baja California Sur,0.031,0.21572,3.55712,2019
Tlaxcala,0.025,0.1825,3.01125,2019
Zacatecas,0.0245,0.1658,2.40830173,2019
Yucatán,0.014,0.0,0.0,2019
Tamaulipas,0.003,0.0,0.0,2019
Michoacán,161.91945,1719.5393700000002,37160.56688772,2020
Jalisco,26.57579,246.80492,4164.89957869,2020
Estado de México,11.20567,117.58921000000001,2131.55613611,2020
Nayarit,6.8435,60.68631,998.3991425799999,2020
Morelos,4.58,42.29275999999999,687.5370836700001,2020
Chiapas,3.16555,15.40058,319.17319088,2020
Oaxaca,2.7134,9.71581,213.37653753,2020
Guerrero,2.59027,14.73547,174.48055630000002,2020
Puebla,1.8967100000000001,9.19604,141.37331167,2020
Durango,1.037,3.11425,52.162975,2020
Colima,0.7435,7.3024700000000005,116.90879740999999,2020
Hidalgo,0.7147,2.21947,28.63360225,2020
Veracruz,0.621,5.31606,74.34366347,2020
Guanajuato,0.143,0.6430500000000001,9.136550300000001,2020
Sinaloa,0.113,1.293,14.33730379,2020
Querétaro,0.07,0.15230000000000002,2.3948679,2020
San Luis Potosí,0.048,0.1026,2.3832,2020
Sonora,0.046799999999999994,0.38939999999999997,6.2616,2020
Baja California,0.0465,0.24944999999999998,4.19578173,2020
Baja California Sur,0.031,0.1443,2.37823644,2020
Zacatecas,0.03,0.20706,3.01332352,2020
Tlaxcala,0.027,0.1975,3.29825,2020
Yucatán,0.01,0.0,0.0,2020
Tamaulipas,0.004,0.0,0.0,2020
Michoacán,166.42235,1743.2813500000002,36352.2140786,2021
Jalisco,27.68442,254.71148000000002,5556.494638,2021
Estado de México,12.26594,122.76147,2219.779603,2021
Nayarit,7.0545,64.71327,1186.901102,2021
Morelos,4.578,43.9022,777.9793216,2021
Chiapas,3.18025,14.072709999999999,318.351667,2021
Oaxaca,2.75787,10.91351,232.776747,2021
Guerrero,2.59415,16.14109,181.0392886,2021
Puebla,2.04699,10.23241,149.7222191,2021
Durango,1.037,3.2768200000000003,53.8172624,2021
Colima,0.7505,7.54258,134.023509,2021
Hidalgo,0.7147,2.50313,45.1333503,2021
Veracruz,0.641,4.913609999999999,73.677601,2021
Guanajuato,0.139,0.7213999999999999,13.1846781,2021
Sinaloa,0.113,0.08757,0.97722078,2021
Querétaro,0.07,0.17796,3.02373212,2021
San Luis Potosí,0.06,0.2091,4.46814329,2021
Sonora,0.046799999999999994,0.4002,6.4602,2021
Baja California Sur,0.031,0.14631,2.4198094500000003,2021
Zacatecas,0.03,0.21714,3.8963547999999997,2021
Tlaxcala,0.028,0.2079,3.49272,2021
Tamaulipas,0.026,0.0,0.0,2021
Baja California,0.0165,0.036,0.828,2021
Yucatán,0.007,0.0,0.0,2021
